dataset,model,branches,residual_mode,folds,mean_pairwise_distance,max_pairwise_distance,residual_count_total,residual_norm_pre_total,residual_norm_post_total,active_ratio_mean,gate_mean,mean_grad_norm,grad_max,grad_min,mean_cosine_branch,mean_cosine_depth,mean_cka_branch,mean_cka_depth
PROTEINS,MatrixRes,B7,identity,5,4.85120598248073,7.59191370010376,105.0,13735.09981803894,13735.09981803894,0.46169529418150584,0.7808957457542419,0.015072396384765221,0.15614455491304396,0.0005530606664251536,0.8948441512730656,0.9176317416131496,0.9857570480327217,0.9216123066842556
PROTEINS,MatrixRes,B8,identity,5,3.967895979540689,5.953292465209961,122.0,13524.108908843995,13524.108908843995,0.4236520964403947,0.7782213687896729,0.016485817160165464,0.19150204360485076,0.0007980662281624973,0.8791640182957053,0.9067727416753769,0.9402470353990793,0.9361469306051731
PROTEINS,MatrixResGated,B1,sparse,5,0.0,0.0,3.0,288.60401306152346,225.25666427612305,0.33410549610853196,0.7965871572494507,0.040980211522599515,0.11178897768259048,0.0032245845068246126,0.9999999403953552,0.7376377940177917,1.0,0.8099032729864121
PROTEINS,MatrixResGated,B2,sparse,5,0.39188796281814575,0.39188796281814575,20.0,1881.377770614624,1516.1724132537843,0.3485081867004434,0.7885745406150818,0.043938575882930306,0.12760670036077498,0.004459125304128975,0.995570182800293,0.8708389408886432,0.9996380001306534,0.9325057916343212
PROTEINS,MatrixResGated,B3,sparse,5,1.355455708503723,1.5093071937561036,37.0,3693.5777351379393,3065.438544464111,0.3121023511224323,0.783318817615509,0.031578832994435084,0.13493834882974626,0.0020062715135281905,0.9790368265575833,0.8831782028079033,0.9988322244750129,0.9424729436635971
PROTEINS,MatrixResGated,B4,sparse,5,1.9482848087946574,2.5441781997680666,54.0,5074.82085647583,4181.040868759155,0.29086329929530624,0.7864321112632752,0.03300937384100897,0.17667269855737686,0.0031893056351691485,0.9553574696183205,0.8704114347696305,0.9893601052463055,0.9666910827159881
PROTEINS,MatrixResGated,B5,sparse,5,2.0829329693317415,3.0306936740875243,71.0,6126.288443374634,5030.7302911758425,0.26208706850806873,0.7826217889785767,0.023672905576220434,0.13103588446974754,0.0016934175859205426,0.9108519825935364,0.8656037889420987,0.9872254981994629,0.9343628115952015
PROTEINS,MatrixResGated,B6,sparse,5,2.382502859433492,3.42718186378479,88.0,7681.6611602783205,6242.091279029846,0.28440963716970546,0.7835561871528626,0.032289334389782855,0.23012204468250275,0.002214605826884508,0.8670561542113622,0.8714744612574578,0.9693548364771737,0.9147134244441986
PROTEINS,MatrixResGated,B7,sparse,5,2.9644958666392736,4.507659196853638,105.0,9784.950568008422,8076.149021148682,0.29297178401656093,0.783790111541748,0.020631390757132637,0.16197142601013184,0.001169678778387606,0.8226742094876814,0.8635978706181049,0.9742507180389093,0.9161006525158882
PROTEINS,MatrixResGated,B8,sparse,5,2.935622182914189,4.223311567306519,122.0,11384.736195755006,9382.743994522094,0.2959331289228673,0.7865837335586547,0.02127349006547245,0.24860078990459442,0.0015072403009980917,0.8138400193303823,0.8727433286607266,0.951064607873559,0.9408432006835937
PROTEINS,Plain,B3,identity,5,1.1175127267837524,1.2235152959823608,0.0,0.0,0.0,0.0,0.800000011920929,0.0170454100257932,0.04752845242619515,0.0046009744051843885,0.6927242795626323,0.4818685449659824,0.8891159706645542,0.810635531693697
PROTEINS,VerticalRes,B3,identity,5,1.7959403355916341,1.9599458932876588,9.0,721.8295906066894,721.8295906066894,0.3562190805872281,0.7635327339172363,0.018317543134024297,0.059574426338076594,0.002231915481388569,0.6882342987590366,0.8155186019837857,0.8526022672653198,0.8600318685173989
